,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location,year,month
333832,37233440,09/19/2017 02:12:48 PM,09/25/2017 01:29:24 PM,HPD,Department of Housing Preservation and Development,Sanitation,PESTS,RESIDENTIAL BUILDING,10025.0,27 WEST   96 STREET,WEST   96 STREET,,,,,ADDRESS,NEW YORK,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/25/2017 01:29:24 PM,07 MANHATTAN,MANHATTAN,993704.0,227886.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.792165465706475,-73.96585740073752,"(40.792165465706, -73.965857400738)",2017,9
148733,35313695,01/23/2017 10:37:58 PM,01/24/2017 01:44:21 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378.0,70-09 52 AVENUE,52 AVENUE,70 STREET,71 STREET,,,ADDRESS,MASPETH,Precinct,Closed,01/24/2017 06:37:58 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/24/2017 01:44:21 AM,05 QUEENS,QUEENS,1013660.0,206570.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.733614697700254,-73.89388071360953,"(40.7336146977, -73.89388071361)",2017,1
105929,30315697,04/02/2015 09:51:00 PM,04/04/2015 12:00:00 PM,DSNY,Queens East 12,Sanitation,15 Street Cond/Dump-Out/Drop-Off,Street,11434.0,120-17 179 STREET,179 STREET,120 AVENUE,LESLIE ROAD,,,ADDRESS,Jamaica,,Closed,,The Department of Sanitation cleaned the location.,04/04/2015 12:00:00 PM,12 QUEENS,QUEENS,1049655.0,188995.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.685182733557895,-73.76417213524208,"(40.685182733558, -73.764172135242)",2015,4
834471,33271875,05/03/2016 07:44:20 PM,05/03/2016 08:00:55 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385.0,74-08 65 STREET,65 STREET,CYPRESS HILLS STREET,COOPER AVENUE,,,ADDRESS,RIDGEWOOD,Precinct,Closed,05/04/2016 03:44:20 AM,The Police Department responded to the complaint and took action to fix the condition.,05/03/2016 08:00:55 PM,05 QUEENS,QUEENS,1014889.0,194334.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.700025666066686,-73.88950184497676,"(40.700025666067, -73.889501844977)",2016,5
452435,34906012,12/01/2016 12:09:54 PM,12/02/2016 02:09:14 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10029.0,291 PLEASANT AVENUE,PLEASANT AVENUE,,,,,ADDRESS,NEW YORK,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,12/02/2016 02:09:14 AM,11 MANHATTAN,MANHATTAN,1002693.0,228831.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79474504634057,-73.93339153769081,"(40.794745046341, -73.933391537691)",2016,12
776686,37521045,10/25/2017 02:42:22 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11356.0,126-10 6 AVENUE,6 AVENUE,126 STREET,127 STREET,,,ADDRESS,COLLEGE POINT,,Assigned,11/04/2017 12:23:28 PM,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,10/27/2017 12:23:28 PM,07 QUEENS,QUEENS,1028126.0,227687.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79151540061276,-73.8415457121999,"(40.791515400613, -73.8415457122)",2017,10
433139,33564718,06/10/2016 09:01:50 PM,06/10/2016 10:31:53 PM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,10029.0,204 EAST 112 STREET,EAST 112 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,06/11/2016 05:01:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/10/2016 10:31:53 PM,11 MANHATTAN,MANHATTAN,1000399.0,229036.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79531220567817,-73.9416760181212,"(40.795312205678, -73.941676018121)",2016,6
351568,28476842,07/15/2014 10:11:08 AM,07/15/2014 02:35:53 PM,NYPD,New York City Police Department,Noise,Banging/Pounding,Residential Building/House,11435.0,135-24 HOOVER AVENUE,HOOVER AVENUE,135 STREET,138 STREET,,,ADDRESS,JAMAICA,Precinct,Closed,07/15/2014 06:11:08 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/15/2014 02:35:53 PM,08 QUEENS,QUEENS,1033511.0,199338.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71367636695263,-73.8223059930383,"(40.713676366953, -73.822305993038)",2014,7
435106,32283261,12/28/2015 10:10:00 AM,12/29/2015 02:05:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11435.0,147-29 FERNDALE AVENUE,FERNDALE AVENUE,LIVERPOOL ST,SUTPHIN BLVD,,,ADDRESS,Jamaica,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12/29/2015 02:05:00 PM,12 QUEENS,QUEENS,1039916.0,190795.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.690189915307506,-73.7992726034458,"(40.690189915308, -73.799272603446)",2015,12
561949,38349435,01/30/2018 02:41:18 PM,01/31/2018 11:10:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11106.0,31 AVENUE,31 AVENUE,23 STREET,25 STREET,,,BLOCKFACE,Astoria,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/31/2018 11:10:00 AM,01 QUEENS,QUEENS,1004333.0,218440.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.766220937039535,-73.92749960113426,"(40.76622093704, -73.927499601134)",2018,1
16032,36544983,06/27/2017 12:52:17 AM,06/27/2017 01:23:46 PM,NYPD,New York City Police Department,Noise,Engine Idling,Street/Sidewalk,11215.0,,,,,5 AVENUE,5 STREET,INTERSECTION,BROOKLYN,Precinct,Closed,06/27/2017 08:52:17 AM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,06/27/2017 01:23:46 PM,06 BROOKLYN,BROOKLYN,988608.0,183956.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67159239922661,-73.98428977627873,"(40.671592399227, -73.984289776279)",2017,6
512087,34702076,11/03/2016 12:00:51 PM,11/10/2016 01:20:06 PM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10458.0,2356 LORILLARD PLACE,LORILLARD PLACE,,,,,ADDRESS,BRONX,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,11/10/2016 01:20:06 PM,06 BRONX,BRONX,1014678.0,250983.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85551279775197,-73.89000626904053,"(40.855512797752, -73.890006269041)",2016,11
585284,34121180,08/17/2016 08:29:00 PM,08/18/2016 12:00:00 PM,DSNY,BCC - Brooklyn North,Sanitation,15 Street Cond/Dump-Out/Drop-Off,Street,11226.0,,,,,ROGERS AVENUE,AVENUE D,INTERSECTION,BROOKLYN,DSNY Garage,Closed,,The Department of Sanitation removed the items.,08/18/2016 12:00:00 PM,17 BROOKLYN,BROOKLYN,997736.0,172729.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.64076754931183,-73.95140655947002,"(40.640767549312, -73.95140655947)",2016,8
819087,26352980,09/21/2013 12:14:34 AM,09/21/2013 03:07:59 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463.0,3617 GREYSTONE AVENUE,GREYSTONE AVENUE,WEST 236 STREET,WEST 238 STREET,,,ADDRESS,BRONX,Precinct,Closed,09/21/2013 08:14:34 AM,The Police Department issued a summons in response to the complaint.,09/21/2013 03:07:02 AM,08 BRONX,BRONX,1010293.0,262161.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.88620699276362,-73.90581408156605,"(40.886206992764, -73.905814081566)",2013,9
751007,37796454,11/27/2017 12:07:00 PM,12/31/2017 10:55:52 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458.0,2833 DECATUR AVENUE,DECATUR AVENUE,,,,,ADDRESS,BRONX,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,12/31/2017 10:55:52 AM,07 BRONX,BRONX,1015908.0,255250.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86722009204391,-73.88553981012404,"(40.867220092044, -73.885539810124)",2017,11
656747,32413406,01/14/2016 09:28:50 PM,01/14/2016 10:56:33 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10002.0,3 ALLEN STREET,ALLEN STREET,DIVISION STREET,CANAL STREET,,,ADDRESS,NEW YORK,Precinct,Closed,01/15/2016 05:28:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/14/2016 10:56:33 PM,03 MANHATTAN,MANHATTAN,986279.0,199668.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.714719044305724,-73.9926808929303,"(40.714719044306, -73.99268089293)",2016,1
844174,38212405,01/14/2018 03:49:17 PM,01/20/2018 02:11:33 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10032,2083 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/20/2018 02:11:33 AM,12 MANHATTAN,MANHATTAN,1001039.0,244062.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.836553163359255,-73.93932699673566,"(40.836553163359, -73.939326996736)",2018,1
178943,38017351,12/26/2017 09:20:27 PM,12/26/2017 10:03:06 PM,NYPD,New York City Police Department,Noise,Banging/Pounding,Residential Building/House,10309.0,52 BALSAM PLACE,BALSAM PLACE,ALVERSON AVENUE,ROSSVILLE AVENUE,,,ADDRESS,STATEN ISLAND,Precinct,Closed,12/27/2017 05:20:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/26/2017 10:03:06 PM,0 Unspecified,Unspecified,925971.0,139365.0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.54900888587309,-74.20970567368386,"(40.549008885873, -74.209705673684)",2017,12
128701,35565351,02/24/2017 07:12:39 AM,02/24/2017 08:46:41 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Street/Sidewalk,10023.0,29 WEST 65 STREET,WEST 65 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/24/2017 03:12:39 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/24/2017 08:46:41 AM,07 MANHATTAN,MANHATTAN,989735.0,220615.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77221185602769,-73.98019716078555,"(40.772211856028, -73.980197160786)",2017,2
603532,33302943,05/07/2016 07:17:24 PM,05/07/2016 08:52:44 PM,NYPD,New York City Police Department,Noise,Loud Music/Party,Street/Sidewalk,10456.0,1230 MORRIS AVENUE,MORRIS AVENUE,EAST 168 STREET,EAST 169 STREET,,,ADDRESS,BRONX,Precinct,Closed,05/08/2016 03:17:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/07/2016 08:52:44 PM,04 BRONX,BRONX,1008153.0,243158.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.834055556125456,-73.9136212714615,"(40.834055556125, -73.913621271461)",2016,5
826264,32013032,11/18/2015 12:29:00 PM,11/18/2015 02:17:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11234.0,,,,,MILL AVENUE,STRICKLAND AVENUE,INTERSECTION,BROOKLYN,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2015 02:17:00 PM,18 BROOKLYN,BROOKLYN,1008703.0,162870.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61368319253538,-73.91192544643188,"(40.613683192535, -73.911925446432)",2015,11
235415,34222350,09/01/2016 11:03:00 AM,09/06/2016 05:10:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10013.0,91 LEONARD STREET,LEONARD STREET,CHURCH ST,BROADWAY,,,ADDRESS,NEW YORK,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/06/2016 05:10:00 AM,01 MANHATTAN,MANHATTAN,982982.0,200547.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.717131830678774,-74.0045741565905,"(40.717131830679, -74.00457415659)",2016,9
743579,22693942,02/10/2012 11:31:00 PM,02/17/2012 12:00:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11385.0,68-31 62 STREET,62 STREET,68 AVENUE,CATALPA AVENUE,,,ADDRESS,RIDGEWOOD,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/17/2012 12:00:00 PM,05 QUEENS,QUEENS,1013318.0,196155.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70502918023164,-73.89515971911584,"(40.705029180232, -73.895159719116)",2012,2
274333,37149595,09/10/2017 05:52:14 PM,09/10/2017 06:52:12 PM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11207.0,138 HENDRIX STREET,HENDRIX STREET,ARLINGTON AVENUE,FULTON STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,09/11/2017 01:52:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/10/2017 06:52:12 PM,05 BROOKLYN,BROOKLYN,1014485.0,186661.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67896645199625,-73.89099328667204,"(40.678966451996, -73.890993286672)",2017,9
720409,30613982,05/13/2015 11:37:27 PM,05/14/2015 12:43:35 AM,NYPD,New York City Police Department,Noise,Loud Talking,Street/Sidewalk,11211.0,348 SOUTH    4 STREET,SOUTH    4 STREET,KEAP STREET,HOOPER STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,05/14/2015 07:37:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/14/2015 12:43:35 AM,01 BROOKLYN,BROOKLYN,996985.0,197461.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.708652422178716,-73.95406586999786,"(40.708652422179, -73.954065869998)",2015,5
225676,38166381,01/09/2018 04:13:23 AM,01/09/2018 04:44:54 AM,NYPD,New York City Police Department,Noise,Engine Idling,Street/Sidewalk,10009.0,97 SAINT MARKS PLACE,SAINT MARKS PLACE,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,Precinct,Closed,01/09/2018 12:13:23 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/09/2018 04:44:54 AM,03 MANHATTAN,MANHATTAN,988464.0,204286.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.727393568988454,-73.98479616392483,"(40.727393568988, -73.984796163925)",2018,1
806248,37481771,10/20/2017 06:59:40 AM,10/26/2017 01:40:54 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11378.0,58-72 58 AVENUE,58 AVENUE,58 PLACE,59 STREET,,,ADDRESS,MASPETH,Precinct,Closed,10/20/2017 02:59:40 PM,The Police Department responded to the complaint and took action to fix the condition.,10/26/2017 01:40:36 AM,05 QUEENS,QUEENS,1009372.0,201983.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72103772558589,-73.90937009711119,"(40.721037725586, -73.909370097111)",2017,10
416085,28468462,07/14/2014 07:23:47 AM,07/14/2014 08:38:54 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10459.0,1365 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,AMTRAK RAILROAD,BRUCKNER EXPRESSWAY EXIT 50 WB,,,ADDRESS,BRONX,Precinct,Closed,07/14/2014 03:23:47 PM,The Police Department responded to the complaint and determined that police action was not necessary.,07/14/2014 08:38:54 AM,02 BRONX,BRONX,1015708.0,239032.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82270719535994,-73.88633899694038,"(40.82270719536, -73.88633899694)",2014,7
55603,32253787,12/23/2015 12:07:25 AM,12/23/2015 07:01:58 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11209.0,350 89 STREET,89 STREET,3 AVENUE,4 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,12/23/2015 08:07:25 AM,The Police Department responded to the complaint and determined that police action was not necessary.,12/23/2015 07:01:58 AM,10 BROOKLYN,BROOKLYN,975771.0,165537.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62103323905878,-74.0305429298238,"(40.621033239059, -74.030542929824)",2015,12
741968,31522314,09/12/2015 10:13:48 PM,09/13/2015 02:01:20 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11419.0,101-37 110 STREET,110 STREET,101 AVENUE,103 AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,Precinct,Closed,09/13/2015 06:13:48 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/13/2015 02:01:20 AM,09 QUEENS,QUEENS,1030459.0,189781.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68746115143502,-73.83338069620626,"(40.687461151435, -73.833380696206)",2015,9
703407,20942468,07/30/2011 03:54:00 PM,07/30/2011 04:00:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,,,,W KINGSBRIDGE RD,SEDGEWICK AVE,W KINGSBRIDGE RD,SEDGEWICK AVE,INTERSECTION,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",07/30/2011 04:00:00 PM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,,2011,7
701931,35487727,02/14/2017 08:18:01 AM,02/14/2017 08:54:10 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10472.0,1025 MORRISON AVENUE,MORRISON AVENUE,BRONX RIVER PARKWAY ET 2 W SB,BRONX RIVER PY SB EN MORRISON AV,,,ADDRESS,BRONX,Precinct,Closed,02/14/2017 04:18:01 PM,The Police Department issued a summons in response to the complaint.,02/14/2017 08:54:10 AM,09 BRONX,BRONX,1019214.0,240019.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.825403045463545,-73.87366633040435,"(40.825403045464, -73.873666330404)",2017,2
138150,38652456,03/08/2018 11:33:35 AM,03/13/2018 02:09:06 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11213.0,1350 PARK PLACE,PARK PLACE,,,,,ADDRESS,BROOKLYN,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,03/13/2018 02:09:06 AM,08 BROOKLYN,BROOKLYN,1002967.0,184276.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67245201406342,-73.93252591216684,"(40.672452014063, -73.932525912167)",2018,3
145818,38117158,01/04/2018 01:20:05 PM,03/29/2018 10:36:13 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11385.0,59-02 CATALPA AVENUE,CATALPA AVENUE,,,,,ADDRESS,Ridgewood,,Closed,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03/29/2018 10:36:13 AM,05 QUEENS,QUEENS,1011772.0,195236.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70251168646193,-73.900739466888,"(40.702511686462, -73.900739466888)",2018,1
860284,36398985,06/10/2017 12:42:14 AM,06/10/2017 04:16:35 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11212.0,111 CHRISTOPHER AVENUE,CHRISTOPHER AVENUE,GLENMORE AVENUE,PITKIN AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,06/10/2017 08:42:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/10/2017 04:16:35 AM,16 BROOKLYN,BROOKLYN,1010281.0,183732.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67094037195304,-73.9061613327659,"(40.670940371953, -73.906161332766)",2017,6
197681,25661320,06/03/2013 12:20:00 PM,06/03/2013 02:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11420.0,124-09 135 AVENUE,135 AVENUE,124 ST,125 ST,,,ADDRESS,South Ozone Park,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,06/03/2013 02:30:00 PM,10 QUEENS,QUEENS,1035521.0,183256.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.669523667458414,-73.81517795070859,"(40.669523667458, -73.815177950709)",2013,6
27875,37409250,10/11/2017 08:02:00 PM,10/11/2017 08:02:00 PM,DSNY,BCC - Queens West,Derelict Vehicles,14 Derelict Vehicles,Street,11419.0,97-18 120 STREET,120 STREET,97 AVENUE,101 AVENUE,,,ADDRESS,South Richmond Hill,DSNY Garage,Pending,,The Department of Sanitation removed the items.,10/11/2017 08:02:00 PM,09 QUEENS,QUEENS,1032647.0,191176.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.69127840437164,-73.82548125739247,"(40.691278404372, -73.825481257392)",2017,10
140118,37040038,08/26/2017 10:46:46 PM,08/27/2017 03:18:21 AM,NYPD,New York City Police Department,Noise,Loud Music/Party,Residential Building/House,11237.0,308 CORNELIA STREET,CORNELIA STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,08/27/2017 06:46:46 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/27/2017 03:18:21 AM,04 BROOKLYN,BROOKLYN,1009025.0,192545.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69513364040722,-73.9106566574727,"(40.695133640407, -73.910656657473)",2017,8
